Moisture,Humidity,Temperature,Motor
97,73,30,0
98,73,30,0
98,74,30,0
98,73,30,0
98,73,30,0
98,74,30,0
98,73,30,0
98,74,30,0
98,74,30,0
98,73,30,0
98,73,30,0
98,74,30,0
99,74,30,0
98,74,30,0
98,74,30,0
98,74,30,0
98,73,30,0
98,73,30,0
98,73,30,0
98,73,30,0
98,74,30,0
98,74,30,0
99,74,30,0
99,73,30,0
99,73,30,0
99,73,30,0
99,74,30,0
99,74,30,0
99,73,30,0
99,74,30,0
99,73,30,0
99,73,30,0
99,74,30,0
99,74,30,0
99,73,30,0
99,73,30,0
99,73,30,0
99,73,30,0
99,73,30,0
99,74,30,0
99,74,30,0
99,74,30,0
99,73,30,0
99,74,30,0
99,74,30.1,0
99,73,30.1,0
99,74,30.1,0
99,73,30.1,0
99,74,30.1,0
99,73,30.1,0
100,73,30,0
99,74,30.1,0
99,74,30,0
99,73,30.1,0
99,73,30.1,0
99,73,30.1,0
99,73,30.1,0
99,73,30.1,0
99,74,30.1,0
99,74,30.1,0
99,73,30.1,0
99,74,30.1,0
99,73,30.1,0
99,73,30.1,0
99,74,30.1,0
100,73,30.1,0
100,74,30.1,0
100,74,30.1,0
100,74,30.1,0
100,73,30.1,0
100,73,30.1,0
100,74,30.1,0
100,74,30.1,0
100,74,30.1,0
100,74,30.1,0
0,67,27.6,1
0,68,27.6,1
0,67,27.6,1
0,67,27.7,1
0,67,27.7,1
60,65,27,0
59,65,27,0
55,65,27.1,0
50,66,27.1,0
47,66,27.1,0
44,66,27.1,0
38,67,27.2,0
35,66,27.2,0
33,66,27.2,0
30,66,27.2,0
